"Species","Common_name","Suborder","Family","Body_size_min","Body_size_max","Body_size_median","Generations_per_year","Overwintering_stage","Flight_period_start","Flight_period_end","Flight_period_duration","Migratory","Flight_power","Distribution_status","JNCC_Red_List_status","Synchronicity","Climatic_restrictions","Lowland_rivers_and_canals","Streams_and_upland_rivers","Bogs_moorland_and_lowland_wet_heath","Levels_fens_and_grazing_marshes","Ponds_and_lakes","Woodland","No_habitat_types","Oviposition","Life_cycle_years","Life_cycle_range","breeding_habit","Body_length_min","Body_length_max","Larval_body_length_min","Larval_body_length_max","thorax_length","thorax_width","thorax_depth","left_forewing_length","left_forewing_width","left_hindwing_length","left_hindwing_width","right_forewing_length","right_forewing_width","right_hindwing_length","right_hindwing_width"
"Erythromma viridulum","Small Red-eyed Damselfly","Zygoptera","Coenagrionidae",22,25,23.5,"L",NA,"June","Early September",2.5,"N",2,NA,NA,NA,"Continental",NA,NA,1,1,1,NA,3,"Endophytic",NA,NA,"lentic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gomphus vulgatissimus","Club-tailed dragonfly","Anisoptera","Gomphidae",32,37,34.5,"L","L","Early May","Late June",2,"N",3,"Rare","NT","Type 1 Spring","Southern",1,NA,NA,NA,NA,1,2,"Exophytic",3.9,"03-May","lotic",45,50,27,30,9.71875,6.41875,7.7,32.86875,7.88125,31.175,9.65625,32.9125,7.85625,29.55,9.68125
"Ischnura elegans","Blue-tailed Damselfly","Zygoptera","Coenagrionidae",22,29,25.5,"L","L","May","September",4,"N",3,"Very widespread","LC","Type 2 Summer","Widespread",1,NA,1,1,1,1,5,"Endophytic",1.4,"01-Feb","lentic",30,34,13,15,4.28125,2.44375,3.06875,18.83125,3.63125,17.79375,3.575,18.825,3.6125,17.71875,3.60625
"Ischnura pumilio","Scarce Blue-tailed Damselfly","Zygoptera","Coenagrionidae",21,25,23,"O","L","Late May","Early September",3,"N",1,"Scarce","NT","Type 2 Summer","Southern",NA,NA,1,1,NA,NA,2,"Endophytic",1.4,"01-Feb","lentic",26,31,11,12,4.11875,2.375,2.575,17.9625,3.69375,16.975,3.5625,17.8625,3.725,16.975,3.60625
"Lestes barbarus","Southern Emerald Damselfly","Zygoptera","Lestidae",26,35,30.5,"O","E","End May","End September",4,"Y",NA,"Very rare","LC",NA,"Continental",NA,NA,1,NA,NA,NA,1,"Endophytic",1,"1","lentic",40,45,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lestes dryas","Scarce Emerald Damselfly","Zygoptera","Lestidae",25,33,29,"O","E","Late June","Late August",2,"N",2,"Rare","NT","Type 3 Summer","Continental",NA,NA,NA,1,1,NA,2,"Endophytic",1,"1","lentic",35,40,17,22,5.74375,3.35625,3.88125,24.89375,5.65625,23.69375,5.43125,24.83125,5.64375,NA,5.46875
"Lestes sponsa","Emerald Damselfly","Zygoptera","Lestidae",25,33,29,"O","E","Late June","Late September",3,"N",1,"Very widespread","LC","Type 3 Summer","Widespread",1,NA,1,1,1,1,5,"Endophytic",1,"1","lentic",35,39,16,22,5.26875,2.8625,3.26875,22.50625,4.825,21.65,4.59375,22.41875,4.84375,NA,4.5625
"Lestes viridis","Willow Emerald Damselfly","Zygoptera","Lestidae",30,40,35,"O","E","June","November",5,"Y",3,"Very rare",NA,NA,"Continental",1,NA,NA,NA,1,NA,2,"Endophytic",1,"1","lentic",39,48,16,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leucorrhinia dubia","White-faced Darter","Anisoptera","Libellulidae",21,27,24,"L","L","Mid May","Early August",2.5,"N",2,"Rare","EN","Type 1 Spring","Northern",NA,NA,1,NA,NA,NA,1,"Exophytic",2,"2","lentic",31,36,18,22,6.98125,4.13125,5.96875,27.81875,7.15,26.74375,8.7875,27.79375,7.1875,26.71875,8.575
"Libellula depressa","Broad-bodied Chaser","Anisoptera","Libellulidae",22,28,25,"L","L","Mid May","Early August",2.5,"N",3,"Widespread","LC","Type 1 Spring","Southern",NA,NA,NA,1,1,NA,2,"Exophytic",1.7,"01-Mar","lentic",39,48,22.5,25,12.025,7.6,8.3125,39.075,8.9,37.60625,12.4375,39.1625,9.025,37.69375,12.475
"Libellula fulva","Scarce Chaser","Anisoptera","Libellulidae",26,29,27.5,"L","L","Late May","Early Auu",2,"N",3,"Rare","NT","Type 1 Spring","Southern",1,NA,NA,1,NA,NA,2,"Exophytic",2,"2","lentic",42,45,22,25,10.2375,6.69375,7.36875,37.0375,8.40625,36.76875,11.61875,35.066875,8.4875,36.5875,11.6725
"Libellula quadrimaculata","Four-spotted Chaser","Anisoptera","Libellulidae",27,32,29.5,"L","L","Late May","Mid August",2.5,"Y",3,"Very widespread","LC","Type 1 Spring","Widespread",1,NA,1,1,1,NA,4,"Exophytic",2,"2","lentic",40,48,18,28,10.9625,7.31875,8.10625,37.79375,8.50625,36.74375,11.61875,37.8,8.56875,35.9875,11.6375
"Orthetrum cancellatum","Black-tailed Skimmer","Anisoptera","Libellulidae",29,35,32,"L","L","Late May","Early August",2,"N",3,"Local","LC","Type 1 Spring","Southern",1,NA,NA,1,1,NA,3,"Exophytic",2,"2","lentic",44,50,23,25.5,11.4,6.79375,8.1875,39.875,9.33125,38.50625,12.55625,39.83125,9.40625,38.46875,12.54375
"Orthetrum coerulescens","Keeled Skimmer","Anisoptera","Libellulidae",25,31,28,"L","L","Early June","Late August",3,"N",3,"Local","LC","Type 1 Spring","Oceanic",NA,1,1,NA,NA,NA,2,"Exophytic",2,"2","lotic",36,45,17,23,9.20625,5.19375,6.8,31.75625,8,30.53125,10.14375,31.53125,8.08125,30.4625,10.19375
"Platycnemis pennipes","White-legged Damselfly","Zygoptera","Platycnemis",27,31,29,"L","L","Late May","Mid August",2.5,"N",2,"Scarce","LC",NA,"Southern",1,NA,NA,1,NA,NA,2,"Endophytic",2,"2","lotic",35,37,13,15,4.85,2.6375,3.24375,23.36875,4.43125,22.08125,4.28125,23.44375,4.48125,22.25625,4.36875
"Pyrrhosoma nymphula","Large Red Damselfly","Zygoptera","Coenagrionidae",25,29,27,"L","L","Mid May","Early July",1.5,"N",NA,"Very widespread","LC","Type 1 Spring","Widespread",1,NA,1,1,1,1,5,"Endophytic",2,"2","lentic",33,36,13,14,4.60625,2.825,2.725,23.01875,4.40625,21.9,4.23125,23.05,4.40625,22.575,4.25625
"Somatochlora arctica","Northern Emerald","Anisoptera","Corduliidae",30,37,33.5,"L","L","Late May","Late September",4,"N",3,"Rare","NT","Type 1 Spring","Northern",NA,NA,1,NA,1,1,3,"Exophytic",2,"2","lentic",45,51,17,20,8.85714285714286,5.82857142857143,7.84285714285714,33.4285714285714,8.68571428571429,32.5142857142857,10.7714285714286,33.4285714285714,8.72857142857143,31.2428571428571,10.8
"Somatochlora metallica","Brillinat Emerald","Anisoptera","Corduliidae",37,40,38.5,"L","L","Late June","August",1.5,"N",3,"Rare","VU","Type 1 Spring","Widespread",NA,NA,NA,NA,1,1,2,"Exophytic",2.4,"02-Mar","lentic",50,55,23,26,11.7857142857143,8.27857142857143,10.3857142857143,37.9857142857143,10.25,39.6785714285714,13.4928571428571,40.0857142857143,10.9428571428571,39.6785714285714,13.3642857142857
"Sympetrum danae","Black Darter","Anisoptera","Libellulidae",18,24,21,"O","E","Mid July","Mid September",2,"N",2,"Widespread","LC","Type 3 Summer","Widespread",NA,NA,1,NA,NA,NA,1,"Exophytic",1,"1","lentic",29,34,13,16,6.5,NA,5.3625,24.8875,NA,23.95,8.96875,24.9625,6.825,24.53125,8.93125
"Sympetrum sanguineum","Ruddy Darter","Anisoptera","Libellulidae",20,26,23,"O","E","Late June","October",3.5,"N",2,"Widespread","LC","Type 3 Summer","Continental",1,NA,1,1,1,1,5,"Exophytic",1,"1","lentic",34,39,15,17,6.90625,3.775,5.33125,27.01875,7,26.21875,8.8875,27.01875,6.95,26.075,8.825
"Sympetrum striolatum","Common Darter","Anisoptera","Libellulidae",25,30,27.5,"O","EL","Mid June","November",5,"N",3,"Very widespread","LC","Type 3 Summer","Widespread",1,NA,1,1,1,1,5,"Exophytic",1,"1","lentic",35,44,15.5,18,8.7125,4.70625,6.51875,30.4,7.6625,29.29375,9.84375,30.4625,7.6625,29.25,9.8
