Specimen_Number,Preservation,Order,Family,Genus,Species,Sex,thorax_length,thorax_width,thorax_depth,left_forewing_length,left_forewing_width,left_hindwing_length,left_hindwing_width,right_forewing_length,right_forewing_width,right_hindwing_length,right_hindwing_width
988374,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,m,10.9,7.6,9.7,48.8,11.2,47.8,17.3,48.5,11.5,48.9,17
988372,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,m,11.4,8.8,9.7,48.5,12.3,48.6,15.8,49,12.4,48.6,15.7
988369,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,m,11.8,7.9,10.5,48.4,12.2,47.9,14.8,48.2,12.4,46.8,15.3
988373,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,m,12.2,7.8,10.7,47.9,12.1,47.4,15.8,47.8,12.1,47.1,15.2
988371,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna grandis,m,11.4,8.2,9.3,46.8,12.2,45.9,14.9,47,12.4,45.7,14.5
989445,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,f,10.5,7.7,8.9,45.9,11.3,45.3,14.7,45.5,10.6,44.9,14.6
989442,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,f,11.6,7.8,9.5,45.7,11.3,45.3,14.4,45.5,11.4,45.3,14.4
989437,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,m,12.2,7.9,9.7,45.6,11.1,44.9,14.2,45.5,11.1,45,13.8
989446,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,f,12.1,7.7,9.5,45.6,11.1,45.4,13.6,45.4,10.6,45.6,13.8
989438,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,m,12.1,8,10.4,45.5,10.6,45.1,14.1,45.3,11,44.9,14.6
989448,Dry - mounted,Odonata,Aeshnidae,Aeshna,Aeshna isosceles,f,12,8.5,8.8,45.4,10.7,45.3,13.1,44.8,11.1,44.4,13.3
